School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
Birch Cliff Public School,1650 Kingston Rd,Toronto,M1N1S2,Toronto DSB,49344,Yes, , 
Bishop Allen Academy,721 Royal York Rd,Toronto,M8Y2T3,Toronto CDSB,689360,Yes, , 
Bishop Marrocco/Thomas Merton,1515 Bloor St W,Toronto,M6P1A3,Toronto CDSB,691798,Yes, ,Yes
Blake Street Jr PS,21 Boultbee Ave,Toronto,M4J1A7,Toronto DSB,50679,Yes, , 
Blessed Mother Teresa C. S.S.,40 Sewells Rd,Toronto,M1B3G5,Toronto CDSB,733024,Yes, , 
Bloor CI,1141 Bloor St W,Toronto,M6H1M9,Toronto DSB,895407,Yes,Yes, 
Bloordale Middle School,10 Toledo Rd,Toronto,M9C2H3,Toronto DSB,54801,Yes, , 
Bowmore Road Jr & Sr PS,80 Bowmore Rd,Toronto,M4L3J2,Toronto DSB,56367,Yes, , 
Boys & Girls Club of East Scarborough,..,Toronto,M1E1W7,..,…,, ,Yes
Boys Leadership Academy,45 Golfdown Drive,Toronto,M9W2H8,Toronto DSB,197030,Yes, , 
Braeburn Neighbourhood Place,..,Toronto,M9W2N9,..,…,Yes,Yes,Yes
Brebeuf College School,211 Steeles Ave E,Toronto,M2M3Y6,Toronto CDSB,690961,Yes, , 
Briarcrest Junior School,60 Wellesworth Dr,Toronto,M9C4R3,Toronto DSB,60917,Yes, , 
Brock Jr PS,93 Margueretta St,Toronto,M6H3S4,Toronto DSB,64424,Yes, , 
Bruce Jr PS,51 Larchmount Ave,Toronto,M4M2Y6,Toronto DSB,67547,Yes, , 
Buchanan P.S.,4 Bucannan Rd,Toronto,M1R3V3,Toronto DSB,68713,Yes, , 
C.D. Farquharson Jr. P.S.,1965 Brimley Rd,Toronto,M1S2B1,Toronto DSB,72745,Yes, , 
Canadian Martyrs CS,520 Plains Rd,Toronto,M4C2Z1,Toronto CDSB,694045,Yes, , 
Cardinal Carter Academy for the Arts,36 Greenfield Ave,Toronto,M2N3C8,Toronto CDSB,694550,Yes, , 
Cardinal Leger C.S.,600 Moorish,Toronto,M1C4Y1,Toronto CDSB,695408,Yes, , 
Carleton Village PS,315 Osler St,Toronto,M6N2Z4,Toronto DSB,425826,Yes,Yes, 
Central Etobicoke H.S.,10 Denfield St,Toronto,M9R3H1,Toronto DSB,952842,Yes, , 
Central Technical School,725 Bathurst St,Toronto,M5S2R5,Toronto DSB,900087,Yes,Yes, 
Central Toronto Academy (formerly Central Commerce C.I.),570 Shaw St,Toronto,M6G3L6,Toronto DSB,899437,Yes,Yes,Yes
Chaminade College School,490 Queen's Dr,Toronto,M6L1M8,Toronto CDSB,695947,Yes, , 
Charles G. Fraser Jr PS,79 Manning Ave,Toronto,M6J2K6,Toronto DSB,101737,Yes, , 
Chief Dan George,185 Generation Blvd,Toronto,M1B2K5,Toronto DSB,493104,Yes, , 
Christ the King C.S.,3672 Lakeshore Blvd W,Toronto,M8W1N6,Toronto CDSB,697559,Yes, , 
Church Street Jr PS,83 Alexander St,Toronto,M4Y1B7,Toronto DSB,107190,Yes, , 
City Adult Learning Centre - Ed Vance,1 Danforth Ave,Toronto,M4K1M8,Toronto DSB,890529,Yes,Yes, 
City School,635 Queen's Quay W,Toronto,M5V3G3,Toronto DSB,901474,Yes, , 
City View Alternative Sr. School,38 Shirley Street,Toronto,M6K1S9,Toronto DSB,107808,Yes, , 
